City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,blackmans bay,-43.0167,147.3167,54.73,65,78,6.53,AU,1687842703
115,puerto natales,-51.7236,-72.4875,34.16,98,100,6.89,CL,1687842703
116,san antonio de pale,-1.4014,5.6325,75.18,84,0,10.96,GQ,1687842160
117,ghat,24.9647,10.1728,83.23,18,4,2.82,LY,1687842703
118,urumqi,43.801,87.6005,76.15,22,0,4.47,CN,1687842627
119,wynyard,-41.0,145.7167,51.98,82,85,10.22,AU,1687842704
120,lihue,21.9789,-159.3672,81.64,77,75,16.11,US,1687842704
121,jamai,22.2,78.5833,73.36,92,100,10.36,IN,1687842704
122,sao felix do xingu,-6.6447,-51.995,71.15,72,89,1.7,BR,1687842447
123,jamestown,42.097,-79.2353,67.59,79,100,5.75,US,1687842482
124,skeldon,5.8833,-57.1333,75.09,94,93,3.62,GY,1687842705
125,saudarkrokur,65.7461,-19.6394,52.02,73,36,3.13,IS,1687842157
126,aytos,42.7,27.25,76.42,55,3,6.06,BG,1687842649
127,anadyr,64.75,177.4833,54.1,93,40,4.47,RU,1687842706
128,dalandzadgad,43.5708,104.425,68.0,30,100,7.47,MN,1687842493
129,amga,60.8953,131.9608,89.13,38,89,3.8,RU,1687842706
130,houlton,46.1262,-67.8403,57.72,96,100,0.0,US,1687842706
131,greystones,53.1408,-6.0631,59.92,90,100,11.72,IE,1687842706
132,inda silase,14.1031,38.2829,69.48,50,66,1.81,ET,1687842707
133,ambatofinandrahana,-20.55,46.8,50.18,54,0,3.24,MG,1687842707
134,santiago,-33.4569,-70.6483,58.62,81,75,11.5,CL,1687842000
135,nishon tumani,38.694,65.6751,86.25,25,0,6.91,UZ,1687842708
136,gerash,27.6652,54.1371,90.12,42,27,5.5,IR,1687842708
137,medjez el bab,36.6496,9.6123,71.98,62,0,4.85,TN,1687842708
138,port alfred,-33.5906,26.891,57.18,96,100,5.99,ZA,1687842708
139,riachao das neves,-11.7461,-44.91,63.61,62,11,1.97,BR,1687842677
140,maracaju,-21.6144,-55.1683,58.78,70,0,4.54,BR,1687842570
141,hermanus,-34.4187,19.2345,58.8,87,100,19.75,ZA,1687842709
142,minas de marcona,-15.2119,-75.1103,52.97,89,55,12.48,PE,1687842129
143,chibougamau,49.9168,-74.3659,60.42,88,100,9.22,CA,1687842142
144,yichang,30.7144,111.2847,93.96,49,68,4.65,CN,1687842493
145,hawaiian paradise park,19.5933,-154.9731,76.03,93,100,4.61,US,1687842710
146,naze,28.3667,129.4833,80.2,75,3,6.13,JP,1687842710
147,alamosa,37.4695,-105.87,64.38,36,20,11.5,US,1687842710
148,saint-pierre,-21.3393,55.4781,69.57,49,0,8.05,RE,1687842142
149,gadzhiyevo,69.2551,33.3362,48.61,79,80,3.04,RU,1687842144
150,mount pearl,47.5166,-52.7813,41.14,94,75,8.05,CA,1687842139
151,aras-asan,8.8908,126.3033,84.38,74,100,4.79,PH,1687842711
152,nadym,65.5333,72.5167,61.81,46,99,6.44,RU,1687842711
153,erbil,36.1926,44.0106,89.42,14,0,1.14,IQ,1687842711
154,villa gesell,-37.2639,-56.973,48.06,66,99,5.28,AR,1687842712
155,la'ie,21.6477,-157.9253,78.12,72,1,5.99,US,1687842115
156,arraial do cabo,-22.9661,-42.0278,70.11,92,1,18.1,BR,1687842097
